-181.414, 70.624, 2.457,  5.527
-181.412, 70.542, 2.465,  5.560
-181.412, 70.460, 2.473,  5.593
-181.410, 70.377, 2.481,  5.626
-181.409, 70.294, 2.489,  5.659
-181.408, 70.211, 2.497,  5.692
-181.407, 70.128, 2.506,  5.725
-181.406, 70.044, 2.514,  5.758
-181.405, 69.960, 2.522,  5.791
-181.404, 69.876, 2.530,  5.824
-181.402, 69.791, 2.539,  5.857
-181.402, 69.706, 2.547,  5.890
-181.401, 69.621, 2.555,  5.923
-181.400, 69.536, 2.564,  5.956
-181.399, 69.450, 2.572,  5.989
-181.398, 69.364, 2.581,  6.022
-181.398, 69.278, 2.589,  6.055
-181.396, 69.191, 2.598,  6.088
-181.396, 69.104, 2.606,  6.121
-181.395, 69.017, 2.615,  6.154
-181.394, 68.930, 2.623,  6.187
-181.394, 68.842, 2.632,  6.220
-181.393, 68.754, 2.640,  6.253
-181.393, 68.666, 2.649,  6.286
-181.392, 68.578, 2.658,  6.319
-181.391, 68.489, 2.667,  6.352
-181.391, 68.400, 2.676,  6.385
-181.390, 68.310, 2.684,  6.418
-181.390, 68.221, 2.693,  6.451
-181.389, 68.131, 2.702,  6.484
-181.389, 68.040, 2.711,  6.517
-181.388, 67.950, 2.720,  6.550
-181.388, 67.859, 2.729,  6.583
-181.387, 67.768, 2.738,  6.616
-181.387, 67.676, 2.747,  6.649
-181.387, 67.584, 2.756,  6.682
-181.387, 67.492, 2.765,  6.715
-181.386, 67.400, 2.775,  6.748
-181.386, 67.307, 2.784,  6.781
-181.385, 67.214, 2.793,  6.814
-181.385, 67.121, 2.802,  6.847
-181.385, 67.027, 2.811,  6.880
-181.385, 66.933, 2.821,  6.913
-181.384, 66.839, 2.830,  6.946
-181.384, 66.744, 2.839,  6.979
-181.384, 66.649, 2.849,  7.012
-181.384, 66.554, 2.858,  7.045
-181.384, 66.459, 2.868,  7.078
-181.383, 66.363, 2.877,  7.111
-181.383, 66.267, 2.887,  7.144
-181.383, 66.170, 2.896,  7.177
-181.383, 66.073, 2.906,  7.210
-181.382, 65.976, 2.916,  7.243
-181.383, 65.879, 2.925,  7.276
-181.382, 65.781, 2.935,  7.309
-181.382, 65.683, 2.945,  7.342
-181.382, 65.585, 2.954,  7.375
-181.382, 65.486, 2.964,  7.408
-181.382, 65.387, 2.974,  7.441
-181.382, 65.287, 2.983,  7.474
-181.382, 65.188, 2.993,  7.507
-181.381, 65.088, 3.003,  7.540
-181.381, 64.987, 3.013,  7.573
